soggetto,presente,futuro semplice,imperfetto,passato prossimo,imperativo,condizionale presente,condizionale passato,congiuntivo presente,congiuntivo passato
io,tengo,terrò,tenevo,ho tenuto,,terrei,avrei tenuto,che io tenga,che io abbia tenuto
tu,tieni,terrai,tenevi,hai tenuto,tiieni,terresti,avresti tenuto,che tu tenga,che tu abbia tenuto
lui, tiene, terrà, teneva, ha tenuto,, terrebbe, avrebbe tenuto, che lui tenga, che lui abbia tenuto
lei, tiene, terrà, teneva, ha tenuto,, terrebbe, avrebbe tenuto, che lei tenga, che lei abbia tenuto
noi, teniamo, terremo, tenevamo, abbiamo tenuto, teniamo, terremmo, avremmo tenuto, che noi teniamo, che noi abbiamo tenuto
voi, tenete, terrete, tenevate, avete tenuto, tenete, terreste, avreste tenuto, che voi teniate, che voi abbiate tenuto
loro, tengono, terranno, tenevano, hanno tenuto,, terrebbero, avrebbero tenuto, che loro tengano, che loro abbiano tenuto
