soggetto,presente,futuro semplice,imperfetto,passato prossimo,imperativo,condizionale presente,condizionale passato,congiuntivo presente,congiuntivo passato
io,faccio,farò,facevo,ho fatto,,farei,avrei fatto,che io faccia,che io abbia fatto
tu,fai,farai,facevi,hai fatto,fai,faresti,avresti fatto,che tu faccia,che tu abbia fatto
lui,fa,farà,faceva,ha fatto,faccia,farebbe,avrebbe fatto,che lui faccia,che lui abbia fatto
lei,fa,farà,faceva,ha fatto,faccia,farebbe,avrebbe fatto,che lei faccia,che lei abbia fatto
noi,facciamo,faremo,facevamo,abbiamo fatto,facciamo,faremmo,avremmo fatto,che noi facciamo,che noi abbiamo fatto
voi,fate,farete,facevate,avete fatto,fate,fareste,avreste fatto,che voi facciate,che voi abbiate fatto
loro,fanno,faranno,facevano,hanno fatto,facciano,farebbero,avrebbero fatto,che loro facciano,che loro abbiano fatto
