soggetto,presente,futuro semplice,imperfetto,passato prossimo,imperativo,condizionale presente,condizionale passato,congiuntivo presente,congiuntivo passato
io,voglio,vorrò,volevo,ho voluto,,vorrei,avrei voluto,che io voglia,che io abbia voluto
tu,vuoi,vorrai,voleva,hai voluto,vuoi,vorresti,avresti voluto,che tu voglia,che tu abbia voluto
lui, vuole, vorrà, voleva, ha voluto,, vorrebbe, avrebbe voluto, che lui voglia, che lui abbia voluto
lei, vuole, vorrà, voleva, ha voluto,, vorrebbe, avrebbe voluto, che lei voglia, che lei abbia voluto
noi, vogliamo, vorremo, volevamo, abbiamo voluto, vogliamo, vorremmo, avremmo voluto, che noi vogliamo, che noi abbiamo voluto
voi, volete, vorrete, volevate, avete voluto, volete, vorreste, avreste voluto, che voi vogliate, che voi abbiate voluto
loro, vogliono, vorranno, volevano, hanno voluto,, vorrebbero, avrebbero voluto, che loro vogliano, che loro abbiano voluto
