soggetto,presente,futuro semplice,imperfetto,passato prossimo,imperativo,condizionale presente,condizionale passato,congiuntivo presente,congiuntivo passato
io,ho,reò,gevo,ho avuto,,rei,avevo avuto,che io abbia,che io abbia avuto
tu,hai,rai,vevi,hai avuto,abbi,resti,avevi avuto,che tu abbia,che tu abbia avuto
lui, ha,rà,veva,ha avuto,,rebbe,aveva avuto, che lui abbia, che lui abbia avuto
lei, ha,rà,veva,ha avuto,,rebbe,aveva avuto, che lei abbia, che lei abbia avuto
noi, abbiamo,remo,vevamo,abbiamo avuto,abbiamo,remmo,avevamo avuto, che noi abbiamo, che noi abbiamo avuto
voi, avete,rete,vevate,avete avuto,avete,reste,avevate avuto, che voi abbiate, che voi abbiate avuto
loro, hanno,ranno,vevano,hanno avuto,,rebbero,avevano avuto, che loro abbiano, che loro abbiano avuto
