soggetto,presente,futuro semplice,imperfetto,passato prossimo,imperativo,condizionale presente,condizionale passato,congiuntivo presente,congiuntivo passato
io,capisco,capiirò,capivo,ho capito,,capirei,avrei capito,che io capisca,che io abbia capito
tu,capisci,capiirai,capivi,hai capito,capisci,capiresti,avresti capito,che tu capisca,che tu abbia capito
lui,capisce,capiirà,capiva,ha capito,,capirebbe,avrebbe capito,che lui capisca,che lui abbia capito
lei,capisce,capiirà,capiva,ha capito,,capirebbe,avrebbe capito,che lei capisca,che lei abbia capito
noi,capimo,capiiremo,capivamo,abbiamo capito,capiamo,capiremmo,avremmo capito,che noi capiamo,che noi abbiamo capito
voi,capite,capiirete,capivate,avete capito,capite,capireste,avreste capito,che voi capiate,che voi abbiate capito
loro,capiscono,capiiranno,capivano,hanno capito,,capirebbero,avrebbero capito,che loro capiscano,che loro abbiano capito
