soggetto,presente,futuro semplice,imperfetto,passato prossimo,imperativo,condizionale presente,condizionale passato,congiuntivo presente,congiuntivo passato
io,mangio,mangerò,mangiavo,ho mangiato,,mangerei,avrei mangiato,che io mangi,che io abbia mangiato
tu,mangi,mangerai,mangiavi,hai mangiato,mangia,mangeresti,avresti mangiato,che tu mangi,che tu abbia mangiato
lui,mangia,mangerà,mangiava,ha mangiato,,mangerebbe,avrebbe mangiato,che lui mangi,che lui abbia mangiato
lei,mangia,mangerà,mangiava,ha mangiato,,mangerebbe,avrebbe mangiato,che lei mangi,che lei abbia mangiato
noi,mangiamo,mangeremo,mangiavamo,abbiamo mangiato,mangiamo,mangeremmo,avremmo mangiato,che noi mangiamo,che noi abbiamo mangiato
voi,mangiate,mangerete,mangiavate,avete mangiato,mangiate,mangereste,avreste mangiato,che voi mangiate,che voi abbiate mangiato
loro,mangiano,mangeranno,mangiavano,hanno mangiato,,mangerebbero,avrebbero mangiato,che loro mangino,che loro abbiano mangiato
