soggetto,presente,futuro semplice,imperfetto,passato prossimo,imperativo,condizionale presente,condizionale passato,congiuntivo presente,congiuntivo passato
io,bevo,berrò,bevevo,ho bevuto,,berrei,avrei bevuto,che io beva,che io abbia bevuto
tu,bevi,berrai,bevevi,hai bevuto,bevi,berresti,avresti bevuto,che tu beva,che tu abbia bevuto
lui, beve, berrà, beveva,ha bevuto,,berrebbe,avrebbe bevuto,che lui beva,che lui abbia bevuto
lei, beve, berrà, beveva,ha bevuto,,berrebbe,avrebbe bevuto,che lei beva,che lei abbia bevuto
noi, beviamo, berremo, bevevamo, abbiamo bevuto, beviamo, berremmo, avremmo bevuto, che noi beviamo, che noi abbiamo bevuto
voi, bevete, berrete, bevevate, avete bevuto, bevete, berreste, avreste bevuto, che voi beviate, che voi abbiate bevuto
loro, bevono, berranno, bevevano, hanno bevuto,,berrebbero,avrebbero bevuto,che loro bevano,che loro abbiano bevuto
