soggetto,presente,futuro semplice,imperfetto,passato prossimo,imperativo,condizionale presente,condizionale passato,congiuntivo presente,congiuntivo passato
io,mi chiamo,mi chiamerò,mi chiamavo,mi sono chiamato,,mi chiamerei,mi sarei chiamato,che io mi chiami,che io mi sia chiamato
tu,ti chiami,ti chiamerai,ti chiamavi,ti sei chiamato,chiama,ti chiameresti,ti saresti chiamato,che tu ti chiami,che tu ti sia chiamato
lui,si chiama,si chiamerà,si chiamava,si è chiamato,,si chiamerebbe,si sarebbe chiamato,che lui si chiami,che lui si sia chiamato
lei,si chiama,si chiamerà,si chiamava,si è chiamata,,si chiamerebbe,si sarebbe chiamata,che lei si chiami,che lei si sia chiamata
noi,ci chiamiamo,ci chiameremo,ci chiamavamo,ci siamo chiamati,chiamiamoci,ci chiameremmo,ci saremmo chiamati,che noi ci chiamiamo,che noi ci siamo chiamati
voi,vi chiamate,vi chiamerete,vi chiamavate,vi siete chiamati,chiamatevi,vi chiamereste,vi sareste chiamati,che voi vi chiamiate,che voi vi siate chiamati
loro,si chiamano,si chiameranno,si chiamavano,si sono chiamati,,si chiamerebbero,si sarebbero chiamati,che loro si chiamino,che loro si siano chiamati
