soggetto,presente,futuro semplice,imperfetto,passato prossimo,imperativo,condizionale presente,condizionale passato,congiuntivo presente,congiuntivo passato
io,so,saprò,sapevo,ho saputo,,saprei,avrei saputo,che io sappia,che io abbia saputo
tu,sai,saprai,sapevi,hai saputo,sappi,sapresti,avresti saputo,che tu sappia,che tu abbia saputo
lui,sa,saprà,sapeva,ha saputo,,saprebbe,avrebbe saputo,che lui sappia,che lui abbia saputo
lei,sa,saprà,sapeva,ha saputo,,saprebbe,avrebbe saputo,che lei sappia,che lei abbia saputo
noi,sappiamo,sapremo,sapevamo,abbiamo saputo,sappiamo,sapremmo,avremmo saputo,che noi sappiamo,che noi abbiamo saputo
voi,sapete,saprete,sapevate,avete saputo,sapete,sapreste,avreste saputo,che voi sappiate,che voi abbiate saputo
loro,sanno,sapranno,sapevano,hanno saputo,,saprebbero,avrebbero saputo,che loro sappiano,che loro abbiano saputo
