soggetto,presente,futuro semplice,imperfetto,passato prossimo,imperativo,condizionale presente,condizionale passato,congiuntivo presente,congiuntivo passato
io,vado,andrò,andavo,sono andato,,andrei,sarei andato,che io vada,che io sia andato
tu,vai,andrai,andavi,sei andato,va',andresti,saresti andato,che tu vada,che tu sia andato
lui,va,andrà,andava,è andato,,andrebbe,sarebbe andato,che lui vada,che lui sia andato
lei,va,andrà,andava,è andata,,andrebbe,sarebbe andata,che lei vada,che lei sia andata
noi,andiamo,andremo,andavamo,siamo andati,andiamo,andremmo,saremmo andati,che noi andiamo,che noi siamo andati
voi,andate,andrete,andavate,siete andati,andate,andreste,sareste andati,che voi andiate,che voi siate andati
loro,vanno,andranno,andavano,sono andati,,andrebbero,sarebbero andati,che loro vadano,che loro siano andati
