soggetto,presente,futuro semplice,imperfetto,passato prossimo,imperativo,condizionale presente,condizionale passato,congiuntivo presente,congiuntivo passato
io,sto,starò,stavo,sono stato,,starei,sarei stato,che io stia,che io sia stato
tu,stai,starai,stavi,sei stato,stai,staresti,saresti stato,che tu stia,che tu sia stato
lui, sta, starà, stava, è stato,, starebbe, sarebbe stato, che lui stia, che lui sia stato
lei, sta, starà, stava, è stata,, starebbe, sarebbe stata, che lei stia, che lei sia stata
noi, stiamo, staremo, stavamo, siamo stati, stiamo, staremmo, saremmo stati, che noi stiamo, che noi siamo stati
voi, state, starete, stavate, siete stati, state, stareste, sareste stati, che voi stiate, che voi siate stati
loro, stanno, staranno, stavano, sono stati,, starebbero, sarebbero stati, che loro stiano, che loro siano stati
