soggetto,presente,futuro semplice,imperfetto,passato prossimo,imperativo,condizionale presente,condizionale passato,congiuntivo presente,congiuntivo passato
io,devo,dovrò,dovevo,ho dovuto,,dovrei,avrei dovuto,che io debba,che io abbia dovuto
tu,devi,dovrai,dovevi,hai dovuto,devi,dovresti,avresti dovuto,che tu debba,che tu abbia dovuto
lui, deve, dovrà, doveva, ha dovuto,, dovrebbe, avrebbe dovuto, che lui debba, che lui abbia dovuto
lei, deve, dovrà, doveva, ha dovuto,, dovrebbe, avrebbe dovuto, che lei debba, che lei abbia dovuto
noi, dobbiamo, dovremo, dovevamo, abbiamo dovuto, dobbiamo, dovremmo, avremmo dovuto, che noi dobbiamo, che noi abbiamo dovuto
voi, dovete, dovrete, dovevate, avete dovuto, dovete, dovreste, avreste dovuto, che voi dobbiate, che voi abbiate dovuto
loro, devono, dovranno, dovevano, hanno dovuto,, dovrebbero, avrebbero dovuto, che loro debbano, che loro abbiano dovuto
