soggetto,presente,futuro semplice,imperfetto,passato prossimo,imperativo,condizionale presente,condizionale passato,congiuntivo presente,congiuntivo passato
io,posso,potrò,potevo,ho potuto,,potrei,avrei potuto,che io possa,che io abbia potuto
tu,puoi,potrai,potevi,hai potuto,puoi,potresti,avresti potuto,che tu possa,che tu abbia potuto
lui, può, potrà, poteva, ha potuto,, potrebbe, avrebbe potuto, che lui possa, che lui abbia potuto
lei, può, potrà, poteva, ha potuto,, potrebbe, avrebbe potuto, che lei possa, che lei abbia potuto
noi, possiamo, potremo, potevamo, abbiamo potuto, possiamo, potremmo, avremmo potuto, che noi possiamo, che noi abbiamo potuto
voi, potete, potrete, potevate, avete potuto, potete, potreste, avreste potuto, che voi possiate, che voi abbiate potuto
loro, possono, potranno, potevano, hanno potuto,, potrebbero, avrebbero potuto, che loro possano, che loro abbiano potuto
