soggetto,presente,futuro semplice,imperfetto,passato prossimo,imperativo,condizionale presente,condizionale passato,congiuntivo presente,congiuntivo passato
io,amo,amerò,amavo,ho amato,,amerei,avrei amato,ami,abbia amato
tu,ami,amerai,amavi,hai amato,ama,ameresti,avresti amato,ami,abbia amato
lui,ama,amerà,amava,ha amato,,amerebbe,avrebbe amato,ami,abbia amato
lei,ama,amerà,amava,ha amato,,amerebbe,avrebbe amato,ami,abbia amato
noi,amiamo,ameremo,amavamo,abbiamo amato,amiamo,ameremmo,avremmo amato,amiamo,abbiamo amato
voi,amate,amerete,amavate,avete amato,amate,amereste,avreste amato,amiate,abbiate amato
loro,amano,ameranno,amavano,hanno amato,,amerebbero,avrebbero amato,amino,abbiano amato
