soggetto,presente,futuro semplice,imperfetto,passato prossimo,imperativo,condizionale presente,condizionale passato,congiuntivo presente,congiuntivo passato
io,sono,sarò,ero,sono stato,,sarei, sarei stato,che io sia,che io sia stato
tu,sei,sarai,eri,sei stato, sii,saresti, saresti stato,che tu sia,che tu sia stato
lui,è,sarà,era,è stato, sia,sarebbe, sarebbe stato,che lui sia,che lui sia stato
lei,è,sarà,era,è stata, sia,sarebbe, sarebbe stata,che lei sia,che lei sia stata
noi,siamo,saremo,eravamo,siamo stati, siamo,saremmo, saremmo stati,che noi siamo,che noi siamo stati
voi,siete,sarete,eravate, siete stati, siate,sareste, sareste stati,che voi siate,che voi siate stati
loro,sono,saranno,erano,sono stati, siano,sarebbero, sarebbero stati,che loro siano,che loro siano stati
