soggetto,presente,futuro semplice,imperfetto,passato prossimo,imperativo,condizionale presente,condizionale passato,congiuntivo presente,congiuntivo passato
io,dico,dirò,dicevo,ho detto,,direi,avrei detto,che io dica,che io abbia detto
tu,dici,dirai,dicevi,hai detto,di',diresti,avresti detto,che tu dica,che tu abbia detto
lui, dice, dirà, diceva, ha detto,, direbbe, avrebbe detto, che lui dica, che lui abbia detto
lei, dice, dirà, diceva, ha detto, , direbbe, avrebbe detto, che lei dica, che lei abbia detto
noi, diciamo, diremo, dicevamo, abbiamo detto, diciamo, diremmo, avremmo detto, che noi diciamo, che noi abbiamo detto
voi, dite, direte, dicevate, avete detto, dite, direste, avreste detto, che voi diciate, che voi abbiate detto
loro, dicono, diranno, dicevano, hanno detto,, direbbero, avrebbero detto, che loro dicano, che loro abbiano detto
