personne,aimer,aller,avoir,boire,connaître,devoir,dire,faire,finir,lire,mettre,partir,pouvoir,prendre,rester,savoir,se_lever,venir,voir,vouloir,être
je,j'aurais aimé,je serais allé,j'aurais eu,j'aurais bu,j'aurais connu,j'aurais dû,j'aurais dit,j'aurais fait,j'aurais fini,j'aurais lu,j'aurais mis,je serais parti,j'aurais pu,j'aurais pris,je serais resté,j'aurais su,je me serais levé,je serais venu,j'aurais vu,j'aurais voulu,j'aurais été
tu,tu aurais aimé,tu serais allé,tu aurais eu,tu aurais bu,tu aurais connu,tu aurais dû,tu aurais dit,tu aurais fait,tu aurais fini,tu aurais lu,tu aurais mis,tu serais parti,tu aurais pu,tu aurais pris,tu serais resté,tu aurais su,tu te serais levé,tu serais venu,tu aurais vu,tu aurais voulu,tu aurais été
il,il aurait aimé,il serait allé,il aurait eu,il aurait bu,il aurait connu,il aurait dû,il aurait dit,il aurait fait,il aurait fini,il aurait lu,il aurait mis,il serait parti,il aurait pu,il aurait pris,il serait resté,il aurait su,il se serait levé,il serait venu,il aurait vu,il aurait voulu,il aurait été
elle,elle aurait aimé,elle serait allée,elle aurait eu,elle aurait bu,elle aurait connu,elle aurait dû,elle aurait dit,elle aurait fait,elle aurait fini,elle aurait lu,elle aurait mis,elle serait partie,elle aurait pu,elle aurait pris,elle serait restée,elle aurait su,elle se serait levée,elle serait venue,elle aurait vue,elle aurait voulu,elle aurait été
nous,nous aurions aimé,nous serions allés,nous aurions eu,nous aurions bu,nous aurions connu,nous aurions dû,nous aurions dit,nous aurions fait,nous aurions fini,nous aurions lu,nous aurions mis,nous serions partis,nous aurions pu,nous aurions pris,nous serions restés,nous aurions su,nous serions levés,nous serions venus,nous aurions vu,nous aurions voulu,nous aurions été
vous,vous auriez aimé,vous seriez allés,vous auriez eu,vous auriez bu,vous auriez connu,vous auriez dû,vous auriez dit,vous auriez fait,vous auriez fini,vous auriez lu,vous auriez mis,vous seriez partis,vous auriez pu,vous auriez pris,vous seriez restés,vous auriez su,vous seriez levés,vous seriez venus,vous auriez vu,vous auriez voulu,vous auriez été
ils,ils auraient aimé,ils seraient allés,ils auraient eu,ils auraient bu,ils auraient connu,ils auraient dû,ils auraient dit,ils auraient fait,ils auraient fini,ils auraient lu,ils auraient mis,ils seraient partis,ils auraient pu,ils auraient pris,ils seraient restés,ils auraient su,ils se seraient levés,ils seraient venus,ils auraient vu,ils auraient voulu,ils auraient été
elles,elles auraient aimé,elles seraient allées,elles auraient eu,elles auraient bu,elles auraient connu,elles auraient dû,elles auraient dit,elles auraient fait,elles auraient fini,elles auraient lu,elles auraient mis,elles seraient parties,elles auraient pu,elles auraient pris,elles seraient restées,elles auraient su,elles se seraient levées,elles seraient venues,elles auraient vu,elles auraient voulu,elles auraient été
