personne,aimer,aller,avoir,boire,connaître,devoir,dire,faire,finir,lire,mettre,partir,pouvoir,prendre,rester,savoir,se_lever,venir,voir,vouloir,être
tu,aime,va,aie,bois,connais,dois,dis,fais,fins,lis,mets,pars,peux,prends,reste,sache,lève-toi,viens,vois,veux,sois
nous,aimons,allons,ayons,buvons,connaissons,devons,disons,faisons,finissons,lisons,mettons,partons,pouvons,prenons,restons,sachons,levons-nous,venons,voyons,veuillons,soyons
vous,aimez,allez,ayez,buvez,connaissez,devez,dites,faites,finissez,lisez,mettez,partez,pouvez,prenez,restez,sachez,levez-vous,venez,voyez,veuillez,soyez
