personne,aimer,aller,avoir,boire,connaître,devoir,dire,faire,finir,lire,mettre,partir,pouvoir,prendre,rester,savoir,se_lever,venir,voir,vouloir,être
je,que j'aie aimé,que je sois allé,que j'aie eu,que j'aie bu,que j'aie connu,que j'aie dû,que j'aie dit,que j'aie fait,que j'aie fini,que j'aie lu,que j'aie mis,que je sois parti,que j'aie pu,que j'aie pris,que je sois resté,que j'aie su,que je me sois levé,que je sois venu,que j'aie vu,que j'aie voulu,que j'aie été
tu,que tu aies aimé,que tu sois allé,que tu aies eu,que tu aies bu,que tu aies connu,que tu aies dû,que tu aies dit,que tu aies fait,que tu aies fini,que tu aies lu,que tu aies mis,que tu sois parti,que tu aies pu,que tu aies pris,que tu sois resté,que tu aies su,que tu te sois levé,que tu sois venu,que tu aies vu,que tu aies voulu,que tu aies été
il,qu'il ait aimé,qu'il soit allé,qu'il ait eu,qu'il ait bu,qu'il ait connu,qu'il ait dû,qu'il ait dit,qu'il ait fait,qu'il ait fini,qu'il ait lu,qu'il ait mis,qu'il soit parti,qu'il ait pu,qu'il ait pris,qu'il soit resté,qu'il ait su,qu'il se soit levé,qu'il soit venu,qu'il ait vu,qu'il ait voulu,qu'il ait été
elle,qu'elle ait aimé,qu'elle soit allée,qu'elle ait eu,qu'elle ait bu,qu'elle ait connu,qu'elle ait dû,qu'elle ait dit,qu'elle ait fait,qu'elle ait fini,qu'elle ait lu,qu'elle ait mis,qu'elle soit partie,qu'elle ait pu,qu'elle ait pris,qu'elle soit restée,qu'elle ait su,qu'elle se soit levée,qu'elle soit venue,qu'elle ait vu,qu'elle ait voulu,qu'elle ait été
nous,que nous ayons aimé,que nous soyons allés,que nous ayons eu,que nous ayons bu,que nous ayons connu,que nous ayons dû,que nous ayons dit,que nous ayons fait,que nous ayons fini,que nous ayons lu,que nous ayons mis,que nous soyons partis,que nous ayons pu,que nous ayons pris,que nous soyons restés,que nous ayons su,que nous nous soyons levés,que nous soyons venus,que nous ayons vu,que nous ayons voulu,que nous ayons été
vous,que vous ayez aimé,que vous soyez allés,que vous ayez eu,que vous ayez bu,que vous ayez connu,que vous ayez dû,que vous ayez dit,que vous ayez fait,que vous ayez fini,que vous ayez lu,que vous ayez mis,que vous soyez partis,que vous ayez pu,que vous ayez pris,que vous soyez restés,que vous ayez su,que vous vous soyez levés,que vous soyez venus,que vous ayez vu,que vous ayez voulu,que vous ayez été
ils,qu'ils aient aimé,qu'ils soient allés,qu'ils aient eu,qu'ils aient bu,qu'ils aient connu,qu'ils aient dû,qu'ils aient dit,qu'ils aient fait,qu'ils aient fini,qu'ils aient lu,qu'ils aient mis,qu'ils soient partis,qu'ils aient pu,qu'ils aient pris,qu'ils soient restés,qu'ils aient su,qu'ils se soient levés,qu'ils soient venus,qu'ils aient vu,qu'ils aient voulu,qu'ils aient été
elles,qu'elles aient aimé,qu'elles soient allées,qu'elles aient eu,qu'elles aient bu,qu'elles aient connu,qu'elles aient dû,qu'elles aient dit,qu'elles aient fait,qu'elles aient fini,qu'elles aient lu,qu'elles aient mis,qu'elles soient parties,qu'elles aient pu,qu'elles aient pris,qu'elles soient restées,qu'elles aient su,qu'elles se soient levées,qu'elles soient venues,qu'elles aient vu,qu'elles aient voulu,qu'elles aient été
