personne,aimer,aller,avoir,boire,connaître,devoir,dire,faire,finir,lire,mettre,partir,pouvoir,prendre,rester,savoir,se_lever,venir,voir,vouloir,être
je,que j'aime,que j'aille,que j'aie,que je boive,que je connaisse,que je doive,que je dise,que je fasse,que je finisse,que je lise,que je mette,que je parte,que je puisse,que je prenne,que je reste,que je sache,que je me lève,que je vienne,que je voie,que je veuille,que je sois
tu,que tu aimes,que tu ailles,que tu aies,que tu boives,que tu connaisses,que tu doives,que tu dises,que tu fasses,que tu finisses,que tu lises,que tu mettes,que tu partes,que tu puisses,que tu prennes,que tu restes,que tu saches,que tu te lèves,que tu viennes,que tu voies,que tu veuilles,que tu sois
il,qu'il aime,qu'il aille,qu'il aie,qu'il boive,qu'il connaisse,qu'il doive,qu'il dise,qu'il fasse,qu'il finisse,qu'il lise,qu'il mette,qu'il parte,qu'il puisse,qu'il prenne,qu'il reste,qu'il sache,qu'il se lève,qu'il vienne,qu'il voie,qu'il veuille,qu'il soit
elle,qu'elle aime,qu'elle aille,qu'elle aie,qu'elle boive,qu'elle connaisse,qu'elle doive,qu'elle dise,qu'elle fasse,qu'elle finisse,qu'elle lise,qu'elle mette,qu'elle parte,qu'elle puisse,qu'elle prenne,qu'elle reste,qu'elle sache,qu'elle se lève,qu'elle vienne,qu'elle voie,qu'elle veuille,qu'elle soit
nous,que nous aimions,que nous allions,que nous ayons,que nous buvions,que nous connaissions,que nous devions,que nous disions,que nous fassions,que nous finissions,que nous lisions,que nous mettions,que nous partions,que nous puissions,que nous prenions,que nous restions,que nous sachions,que nous nous levions,que nous venions,que nous voyions,que nous voulions,que nous soyons
vous,que vous aimiez,que vous alliez,que vous ayez,que vous buviez,que vous connaissiez,que vous deviez,que vous disiez,que vous fassiez,que vous finissiez,que vous lisiez,que vous mettiez,que vous partiez,que vous puissiez,que vous preniez,que vous restiez,que vous sachiez,que vous vous leviez,que vous veniez,que vous voyiez,que vous vouliez,que vous soyez
ils,qu'ils aiment,qu'ils aillent,qu'ils aient,qu'ils boivent,qu'ils connaissent,qu'ils doivent,qu'ils disent,qu'ils fassent,qu'ils finissent,qu'ils lisent,qu'ils mettent,qu'ils partent,qu'ils puissent,qu'ils prennent,qu'ils restent,qu'ils sachent,qu'ils se lèvent,qu'ils viennent,qu'ils voient,qu'ils veuillent,qu'ils soient
elles,qu'elles aiment,qu'elles aillent,qu'elles aient,qu'elles boivent,qu'elles connaissent,qu'elles doivent,qu'elles disent,qu'elles fassent,qu'elles finissent,qu'elles lisent,qu'elles mettent,qu'elles partent,qu'elles puissent,qu'elles prennent,qu'elles restent,qu'elles sachent,qu'elles se lèvent,qu'elles viennent,qu'elles voient,qu'elles veuillent,qu'elles soient
