,présent,futur simple,imparfait,passé composé,impératif,conditionnel_présent,conditionnel_passé,subjonctif_présent,subjonctif_passé
je,j'ai,j'aurai,j'avais,j'ai eu,,j'aurais,j'aurais eu,que j'aie,que j'aie eu
tu,tu as,tu auras,tu avais,tu as eu,aie,tu aurais,tu aurais eu,que tu aies,que tu aies eu
il,il a,il aura,il avait,il a eu,,il aurait,il aurait eu,qu'il ait,qu'il ait eu
elle,elle a,elle aura,elle avait,elle a eu,,elle aurait,elle aurait eu,qu'elle ait,qu'elle ait eu
nous,nous avons,nous aurons,nous avions,nous avons eu,ayons,nous aurions,nous aurions eu,que nous ayons,que nous ayons eu
vous,vous avez,vous aurez,vous aviez,vous avez eu,ayez,vous auriez,vous auriez eu,que vous ayez,que vous ayez eu
ils,ils ont,ils auront,ils avaient,ils ont eu,,ils auraient,ils auraient eu,qu'ils aient,qu'ils aient eu
elles,elles ont,elles auront,elles avaient,elles ont eu,,elles auraient,elles auraient eu,qu'elles aient,qu'elles aient eu
