personne,présent,futur simple,imparfait,passé composé,impératif,conditionnel_présent,conditionnel_passé,subjonctif_présent,subjonctif_passé
je,je me lève,je me lèverai,je me levais,je me suis levé,,je me lèverais,je me serais levé,que je me lève,que je me sois levé
tu,tu te lèves,tu te lèveras,tu te levais,tu t'es levé,lève-toi,tu te lèverais,tu te serais levé,que tu te lèves,que tu te sois levé
il,il se lève,il se lèvera,il se levait,il s'est levé,,il se lèverait,il se serait levé,qu'il se lève,qu'il se soit levé
elle,elle se lève,elle se lèvera,elle se levait,elle s'est levée,,elle se lèverait,elle se serait levée,qu'elle se lève,qu'elle se soit levée
nous,nous nous levons,nous nous lèverons,nous nous levions,nous nous sommes levés,levons-nous,nous nous lèverions,nous serions levés,que nous nous levions,que nous nous soyons levés
vous,vous vous levez,vous vous lèverez,vous vous leviez,vous vous êtes levés,levez-vous,vous vous lèveriez,vous seriez levés,que vous vous leviez,que vous vous soyez levés
ils,ils se lèvent,ils se lèveront,ils se levaient,ils se sont levés,,ils se lèveraient,ils se seraient levés,qu'ils se lèvent,qu'ils se soient levés
elles,elles se lèvent,elles se lèveront,elles se levaient,elles se sont levées,,elles se lèveraient,elles se seraient levées,qu'elles se lèvent,qu'elles se soient levées
