personne,présent,futur simple,imparfait,passé composé,impératif,conditionnel_présent,conditionnel_passé,subjonctif_présent,subjonctif_passé
je,je pars,je partirai,je partais,je suis parti,,je partirais,je serais parti,que je parte,que je sois parti
tu,tu pars,tu partiras,tu partais,tu es parti,pars,tu partirais,tu serais parti,que tu partes,que tu sois parti
il,il part,il partira,il partait,il est parti,,il partirait,il serait parti,qu'il parte,qu'il soit parti
elle,elle part,elle partira,elle partait,elle est partie,,elle partirait,elle serait partie,qu'elle parte,qu'elle soit partie
nous,nous partons,nous partirons,nous partions,nous sommes partis,partons,nous partirions,nous serions partis,que nous partions,que nous soyons partis
vous,vous partez,vous partirez,vous partiez,vous êtes parti,partez,vous partiriez,vous seriez partis,que vous partiez,que vous soyez partis
ils,ils partent,ils partiront,ils partaient,ils sont partis,,ils partiraient,ils seraient partis,qu'ils partent,qu'ils soient partis
elles,elles partent,elles partiront,elles partaient,elles sont parties,,elles partiraient,elles seraient parties,qu'elles partent,qu'elles soient parties
