personne,présent,futur simple,imparfait,passé composé,impératif,conditionnel_présent,conditionnel_passé,subjonctif_présent,subjonctif_passé
je,je reste,je resterai,je restais,je suis resté,,je resterais,je serais resté,que je reste,que je sois resté
tu,tu restes,tu resteras,tu restais,tu es resté,reste,tu resterais,tu serais resté,que tu restes,que tu sois resté
il,il reste,il restera,il restait,il est resté,,il resterait,il serait resté,qu'il reste,qu'il soit resté
elle,elle reste,elle restera,elle restait,elle est restée,,elle resterait,elle serait restée,qu'elle reste,qu'elle soit restée
nous,nous restons,nous resterons,nous restions,nous sommes restés,restons,nous resterions,nous serions restés,que nous restions,que nous soyons restés
vous,vous restez,vous resterez,vous restiez,vous êtes restés,restez,vous resteriez,vous seriez restés,que vous restiez,que vous soyez restés
ils,ils restent,ils resteront,ils restaient,ils sont restés,,ils resteraient,ils seraient restés,qu'ils restent,qu'ils soient restés
elles,elles restent,elles resteront,elles restaient,elles sont restées,,elles resteraient,elles seraient restées,qu'elles restent,qu'elles soient restées
