,présent,futur simple,imparfait,passé composé,impératif,conditionnel_présent,conditionnel_passé,subjonctif_présent,subjonctif_passé
je,je dois,je devrai,je devais,j'ai dû,,je devrais,j'aurais dû,que je doive,que j'aie dû
tu,tu dois,tu devras,tu devais,tu as dû,dois,tu devrais,tu aurais dû,que tu doives,que tu aies dû
il,il doit,il devra,il devait,il a dû,,il devrait,il aurait dû,qu'il doive,qu'il ait dû
elle,elle doit,elle devra,elle devait,elle a dû,,elle devrait,elle aurait dû,qu'elle doive,qu'elle ait dû
nous,nous devons,nous devrons,nous devions,nous avons dû,devons,nous devrions,nous aurions dû,que nous devions,que nous ayons dû
vous,vous devez,vous devrez,vous deviez,vous avez dû,devez,vous devriez,vous auriez dû,que vous deviez,que vous ayez dû
ils,ils doivent,ils devront,ils devaient,ils ont dû,,ils devraient,ils auraient dû,qu'ils doivent,qu'ils aient dû
elles,elles doivent,elles devront,elles devaient,elles ont dû,,elles devraient,elles auraient dû,qu'elles doivent,qu'elles aient dû
