,présent,futur simple,imparfait,passé composé,impératif,conditionnel_passé,subjonctif_présent,subjonctif_passé,conditionnel_présent
je,je sais,je saurai,je savais,j'ai su,,j'aurais su,que je sache,que j'aie su,je saurais
tu,tu sais,tu sauras,tu savais,tu as su,sache,tu aurais su,que tu saches,que tu aies su,tu saurais
il,il sait,il saura,il savait,il a su,,il aurait su,qu'il sache,qu'il ait su,il saurait
elle,elle sait,elle saura,elle savait,elle a su,,elle aurait su,qu'elle sache,qu'elle ait su,elle saurait
nous,nous savons,nous saurons,nous savions,nous avons su,sachons,nous aurions su,que nous sachions,que nous ayons su,nous saurions
vous,vous savez,vous saurez,vous saviez,vous avez su,sachez,vous auriez su,que vous sachiez,que vous ayez su,vous sauriez
ils,ils savent,ils sauront,ils savaient,ils ont su,,ils auraient su,qu'ils sachent,qu'ils aient su,ils sauraient
elles,elles savent,elles sauront,elles savaient,elles ont su,,elles auraient su,qu'elles sachent,qu'elles aient su,elles sauraient
