,présent,futur simple,imparfait,passé composé,impératif,conditionnel_passé,subjonctif_présent,subjonctif_passé,conditionnel_présent
je,je vois,je verrai,je voyais,j'ai vu,,j'aurais vu,que je voie,que j'aie vu,je verrais
tu,tu vois,tu verras,tu voyais,tu as vu,vois,tu aurais vu,que tu voies,que tu aies vu,tu verrais
il,il voit,il verra,il voyait,il a vu,,il aurait vu,qu'il voie,qu'il ait vu,il verrait
elle,elle voit,elle verra,elle voyait,elle a vu,,elle aurait vue,qu'elle voie,qu'elle ait vu,elle verrait
nous,nous voyons,nous verrons,nous voyions,nous avons vu,voyons,nous aurions vu,que nous voyions,que nous ayons vu,nous verrions
vous,vous voyez,vous verrez,vous voyiez,vous avez vu,voyez,vous auriez vu,que vous voyiez,que vous ayez vu,vous verriez
ils,ils voient,ils verront,ils voyaient,ils ont vu,,ils auraient vu,qu'ils voient,qu'ils aient vu,ils verraient
elles,elles voient,elles verront,elles voyaient,elles ont vu,,elles auraient vu,qu'elles voient,qu'elles aient vu,elles verraient
