,présent,futur simple,imparfait,passé composé,impératif,conditionnel_présent,conditionnel_passé,subjonctif_présent,subjonctif_passé
je,je connais,je connaîtrai,je connaissais,j'ai connu,,je connaîtrais,j'aurais connu,que je connaisse,que j'aie connu
tu,tu connais,tu connaîtras,tu connaissais,tu as connu,connais,tu connaîtrais,tu aurais connu,que tu connaisses,que tu aies connu
il,il connaît,il connaîtra,il connaissait,il a connu,,il connaîtrait,il aurait connu,qu'il connaisse,qu'il ait connu
elle,elle connaît,elle connaîtra,elle connaissait,elle a connu,,elle connaîtrait,elle aurait connu,qu'elle connaisse,qu'elle ait connu
nous,nous connaissons,nous connaîtrons,nous connaissions,nous avons connu,connaissons,nous connaîtrions,nous aurions connu,que nous connaissions,que nous ayons connu
vous,vous connaissez,vous connaîtrez,vous connaissiez,vous avez connu,connaissez,vous connaîtriez,vous auriez connu,que vous connaissiez,que vous ayez connu
ils,ils connaissent,ils connaîtront,ils connaissaient,ils ont connu,,ils connaîtraient,ils auraient connu,qu'ils connaissent,qu'ils aient connu
elles,elles connaissent,elles connaîtront,elles connaissaient,elles ont connu,,elles connaîtraient,elles auraient connu,qu'elles connaissent,qu'elles aient connu
