,présent,futur simple,imparfait,passé composé,impératif,conditionnel_présent,conditionnel_passé,subjonctif_présent,subjonctif_passé
je,j’offre,j’offrirai,j’offrais,j’ai offert,,j’offrirais,j’aurais offert,que j’offre,que j’aie offert
tu,tu offres,tu offriras,tu offrais,tu as offert,offre,tu offrirais,tu aurais offert,que tu offres,que tu aies offert
il,il offre,il offrira,il offrait,il a offert,,il offrirait,il aurait offert,qu’il offre,qu’il ait offert
elle,elle offre,elle offrira,elle offrait,elle a offert,,elle offrirait,elle aurait offert,qu’elle offre,qu’elle ait offert
nous,nous offrons,nous offrirons,nous offrions,nous avons offert,offrons,nous offririons,nous aurions offert,que nous offrions,que nous ayons offert
vous,vous offrez,vous offrirez,vous offriez,vous avez offert,offrez,vous offririez,vous auriez offert,que vous offriez,que vous ayez offert
ils,ils offrent,ils offriront,ils offraient,ils ont offert,,ils offriraient,ils auraient offert,qu’ils offrent,qu’ils aient offert
elles,elles offrent,elles offriront,elles offraient,elles ont offert,,elles offriraient,elles auraient offert,qu’elles offrent,qu’elles aient offert
