personne,présent,futur simple,imparfait,passé composé,impératif,conditionnel_présent,conditionnel_passé,subjonctif_présent,subjonctif_passé
je,je viens,je viendrai,je venais,je suis venu,,je viendrais,je serais venu,que je vienne,que je sois venu
tu,tu viens,tu viendras,tu venais,tu es venu,viens,tu viendrais,tu serais venu,que tu viennes,que tu sois venu
il,il vient,il viendra,il venait,il est venu,,il viendrait,il serait venu,qu'il vienne,qu'il soit venu
elle,elle vient,elle viendra,elle venait,elle est venue,,elle viendrait,elle serait venue,qu'elle vienne,qu'elle soit venue
nous,nous venons,nous viendrons,nous venions,nous sommes venus,venons,nous viendrions,nous serions venus,que nous venions,que nous soyons venus
vous,vous venez,vous viendrez,vous veniez,vous êtes venu,venez,vous viendriez,vous seriez venus,que vous veniez,que vous soyez venus
ils,ils viennent,ils viendront,ils venaient,ils sont venus,,ils viendraient,ils seraient venus,qu'ils viennent,qu'ils soient venus
elles,elles viennent,elles viendront,elles venaient,elles sont venues,,elles viendraient,elles seraient venues,qu'elles viennent,qu'elles soient venues
