,présent,futur simple,imparfait,passé composé,impératif,conditionnel_présent,conditionnel_passé,subjonctif_présent,subjonctif_passé
je,je précède,je précéderai,je précédais,j'ai précédé,,je précéderais,j'aurais précédé,que je précède,que j'aie précédé
tu,tu précèdes,tu précéderas,tu précédais,tu as précédé,précède,tu précéderais,tu aurais précédé,que tu précèdes,que tu aies précédé
il,il précède,il précédera,il précédait,il a précédé,,il précéderait,il aurait précédé,qu'il précède,qu'il ait précédé
elle,elle précède,elle précédera,elle précédait,elle a précédé,,elle précéderait,elle aurait précédé,qu'elle précède,qu'elle ait précédé
nous,nous précédons,nous précéderons,nous précédions,nous avons précédé,précédons,nous précéderions,nous aurions précédé,que nous précédions,que nous ayons précédé
vous,vous précédez,vous précéderez,vous précédiez,vous avez précédé,précédez,vous précéderiez,vous auriez précédé,que vous précédiez,que vous ayez précédé
ils,ils précèdent,ils précéderont,ils précédaient,ils ont précédé,,ils précéderaient,ils auraient précédé,qu'ils précèdent,qu'ils aient précédé
elles,elles précèdent,elles précéderont,elles précédaient,elles ont précédé,,elles précéderaient,elles auraient précédé,qu'elles précèdent,qu'elles aient précédé
