,présent,futur simple,imparfait,passé composé,impératif,conditionnel_présent,conditionnel_passé,subjonctif_présent,subjonctif_passé
je,je disparais,je disparaîtrai,je disparaissais,j'ai disparu,,je disparaîtrais,j'aurais disparu,que je disparaisse,que j'aie disparu
tu,tu disparais,tu disparaîtras,tu disparaissais,tu as disparu,disparais,tu disparaîtrais,tu aurais disparu,que tu disparaisses,que tu aies disparu
il,il disparaît,il disparaîtra,il disparaissait,il a disparu,,il disparaîtrait,il aurait disparu,qu'il disparaisse,qu'il ait disparu
elle,elle disparaît,elle disparaîtra,elle disparaissait,elle a disparu,,elle disparaîtrait,elle aurait disparu,qu'elle disparaisse,qu'elle ait disparu
nous,nous disparaissons,nous disparaîtrons,nous disparaissions,nous avons disparu,disparaissons,nous disparaîtrions,nous aurions disparu,que nous disparaissions,que nous ayons disparu
vous,vous disparaissez,vous disparaîtrez,vous disparaissiez,vous avez disparu,disparaissez,vous disparaîtriez,vous auriez disparu,que vous disparaissiez,que vous ayez disparu
ils,ils disparaissent,ils disparaîtront,ils disparaissaient,ils ont disparu,,ils disparaîtraient,ils auraient disparu,qu'ils disparaissent,qu'ils aient disparu
elles,elles disparaissent,elles disparaîtront,elles disparaissaient,elles ont disparu,,elles disparaîtraient,elles auraient disparu,qu'elles disparaissent,qu'elles aient disparu
