,présent,futur simple,imparfait,passé composé,impératif,conditionnel_passé,subjonctif_présent,subjonctif_passé,conditionnel_présent
je,je suis,je serai,j'étais,j'ai été,,j'aurais été,que je sois,que j'aie été,je serais
tu,tu es,tu seras,tu étais,tu as été,sois,tu aurais été,que tu sois,que tu aies été,tu serais
il,il est,il sera,il était,il a été,,il aurait été,qu'il soit,qu'il ait été,il serait
elle,elle est,elle sera,elle était,elle a été,,elle aurait été,qu'elle soit,qu'elle ait été,elle serait
nous,nous sommes,nous serons,nous étions,nous avons été,soyons,nous aurions été,que nous soyons,que nous ayons été,nous serions
vous,vous êtes,vous serez,vous étiez,vous avez été,soyez,vous auriez été,que vous soyez,que vous ayez été,vous seriez
ils,ils sont,ils seront,ils étaient,ils ont été,,ils auraient été,qu'ils soient,qu'ils aient été,ils seraient
elles,elles sont,elles seront,elles étaient,elles ont été,,elles auraient été,qu'elles soient,qu'elles aient été,elles seraient
