,présent,futur simple,imparfait,passé composé,impératif,conditionnel_présent,conditionnel_passé,subjonctif_présent,subjonctif_passé
je,je m'assieds,je m'assiérai,je m'asseyais,je me suis assis,,je m'assiérais,je me serais assis,que je m'asseye,que je me sois assis
tu,tu t'assieds,tu t'assiéras,tu t'asseyais,tu t'es assis,assieds‑toi,tu t'assiérais,tu te serais assis,que tu t'asseyes,que tu te sois assis
il,il s'assied,il s'assiéra,il s'asseyait,il s'est assis,,il s'assiérait,il se serait assis,qu'il s'asseye,qu'il se soit assis
elle,elle s'assied,elle s'assiéra,elle s'asseyait,elle s'est assise,,elle s'assiérait,elle se serait assise,qu'elle s'asseye,qu'elle se soit assise
nous,nous nous asseyons,nous nous assiérons,nous nous asseyions,nous nous sommes assis,asseyons‑nous,nous nous assiérions,nous nous serions assis,que nous nous asseyions,que nous nous soyons assis
vous,vous vous asseyez,vous vous assiérez,vous vous asseyiez,vous vous êtes assis,asseyez‑vous,vous vous assiériez,vous vous seriez assis,que vous vous asseyiez,que vous vous soyez assis
ils,ils s'asseyent,ils s'assiéront,ils s'asseyaient,ils se sont assis,,ils s'assiéraient,ils se seraient assis,qu'ils s'asseyent,qu'ils se soient assis
elles,elles s'asseyent,elles s'assiéront,elles s'asseyaient,elles se sont assises,,elles s'assiéraient,elles se seraient assises,qu'elles s'asseyent,qu'elles se soient assises
