,présent,futur simple,imparfait,passé composé,impératif,conditionnel_passé,subjonctif_présent,subjonctif_passé,conditionnel_présent
je,je peux,je pourrai,je pouvais,j'ai pu,,j'aurais pu,que je puisse,que j'aie pu,je pourrais
tu,tu peux,tu pourras,tu pouvais,tu as pu,peux,tu aurais pu,que tu puisses,que tu aies pu,tu pourrais
il,il peut,il pourra,il pouvait,il a pu,,il aurait pu,qu'il puisse,qu'il ait pu,il pourrait
elle,elle peut,elle pourra,elle pouvait,elle a pu,,elle aurait pu,qu'elle puisse,qu'elle ait pu,elle pourrait
nous,nous pouvons,nous pourrons,nous pouvions,nous avons pu,pouvons,nous aurions pu,que nous puissions,que nous ayons pu,nous pourrions
vous,vous pouvez,vous pourrez,vous pouviez,vous avez pu,pouvez,vous auriez pu,que vous puissiez,que vous ayez pu,vous pourriez
ils,ils peuvent,ils pourront,ils pouvaient,ils ont pu,,ils auraient pu,qu'ils puissent,qu'ils aient pu,ils pourraient
elles,elles peuvent,elles pourront,elles pouvaient,elles ont pu,,elles auraient pu,qu'elles puissent,qu'elles aient pu,elles pourraient
