,présent,futur simple,imparfait,passé composé,impératif,conditionnel_présent,conditionnel_passé,subjonctif_présent,subjonctif_passé
je,je finis,je finirai,je finissais,j'ai fini,,je finirais,j'aurais fini,que je finisse,que j'aie fini
tu,tu finis,tu finiras,tu finissais,tu as fini,finis,tu finirais,tu aurais fini,que tu finisses,que tu aies fini
il,il finit,il finira,il finissait,il a fini,,il finirait,il aurait fini,qu'il finisse,qu'il ait fini
elle,elle finit,elle finira,elle finissait,elle a fini,,elle finirait,elle aurait fini,qu'elle finisse,qu'elle ait fini
nous,nous finissons,nous finirons,nous finissions,nous avons fini,finissons,nous finirions,nous aurions fini,que nous finissions,que nous ayons fini
vous,vous finissez,vous finirez,vous finissiez,vous avez fini,finissez,vous finiriez,vous auriez fini,que vous finissiez,que vous ayez fini
ils,ils finissent,ils finiront,ils finissaient,ils ont fini,,ils finiraient,ils auraient fini,qu'ils finissent,qu'ils aient fini
elles,elles finissent,elles finiront,elles finissaient,elles ont fini,,elles finiraient,elles auraient fini,qu'elles finissent,qu'elles aient fini
