,présent,futur simple,imparfait,passé composé,impératif,conditionnel_présent,conditionnel_passé,subjonctif_présent,subjonctif_passé
je,je dis,je dirai,je disais,j'ai dit,,je dirais,j'aurais dit,que je dise,que j'aie dit
tu,tu dis,tu diras,tu disais,tu as dit,dis,tu dirais,tu aurais dit,que tu dises,que tu aies dit
il,il dit,il dira,il disait,il a dit,,il dirait,il aurait dit,qu'il dise,qu'il ait dit
elle,elle dit,elle dira,elle disait,elle a dit,,elle dirait,elle aurait dit,qu'elle dise,qu'elle ait dit
nous,nous disons,nous dirons,nous disions,nous avons dit,disons,nous dirions,nous aurions dit,que nous disions,que nous ayons dit
vous,vous dites,vous direz,vous disiez,vous avez dit,dites,vous diriez,vous auriez dit,que vous disiez,que vous ayez dit
ils,ils disent,ils diront,ils disaient,ils ont dit,,ils diraient,ils auraient dit,qu'ils disent,qu'ils aient dit
elles,elles disent,elles diront,elles disaient,elles ont dit,,elles diraient,elles auraient dit,qu'elles disent,qu'elles aient dit
