,présent,futur simple,imparfait,passé composé,impératif,conditionnel_présent,conditionnel_passé,subjonctif_présent,subjonctif_passé
je,je fais,je ferai,je faisais,j'ai fait,,je ferais,j'aurais fait,que je fasse,que j'aie fait
tu,tu fais,tu feras,tu faisais,tu as fait,fais,tu ferais,tu aurais fait,que tu fasses,que tu aies fait
il,il fait,il fera,il faisait,il a fait,,il ferait,il aurait fait,qu'il fasse,qu'il ait fait
elle,elle fait,elle fera,elle faisait,elle a fait,,elle ferait,elle aurait fait,qu'elle fasse,qu'elle ait fait
nous,nous faisons,nous ferons,nous faisions,nous avons fait,faisons,nous ferions,nous aurions fait,que nous fassions,que nous ayons fait
vous,vous faites,vous ferez,vous faisiez,vous avez fait,faites,vous feriez,vous auriez fait,que vous fassiez,que vous ayez fait
ils,ils font,ils feront,ils faisaient,ils ont fait,,ils feraient,ils auraient fait,qu'ils fassent,qu'ils aient fait
elles,elles font,elles feront,elles faisaient,elles ont fait,,elles feraient,elles auraient fait,qu'elles fassent,qu'elles aient fait
