,présent,futur simple,imparfait,passé composé,impératif,conditionnel_passé,subjonctif_présent,subjonctif_passé,conditionnel_présent
je,je veux,je voudrai,je voulais,j'ai voulu,,j'aurais voulu,que je veuille,que j'aie voulu,je voudrais
tu,tu veux,tu voudras,tu voulais,tu as voulu,veux,tu aurais voulu,que tu veuilles,que tu aies voulu,tu voudrais
il,il veut,il voudra,il voulait,il a voulu,,il aurait voulu,qu'il veuille,qu'il ait voulu,il voudrait
elle,elle veut,elle voudra,elle voulait,elle a voulu,,elle aurait voulu,qu'elle veuille,qu'elle ait voulu,elle voudrait
nous,nous voulons,nous voudrons,nous voulions,nous avons voulu,veuillons,nous aurions voulu,que nous voulions,que nous ayons voulu,nous voudrions
vous,vous voulez,vous voudrez,vous vouliez,vous avez voulu,veuillez,vous auriez voulu,que vous vouliez,que vous ayez voulu,vous voudriez
ils,ils veulent,ils voudront,ils voulaient,ils ont voulu,,ils auraient voulu,qu'ils veuillent,qu'ils aient voulu,ils voudraient
elles,elles veulent,elles voudront,elles voulaient,elles ont voulu,,elles auraient voulu,qu'elles veuillent,qu'elles aient voulu,elles voudraient
