,présent,futur simple,imparfait,passé composé,impératif,conditionnel_passé,subjonctif_présent,subjonctif_passé,conditionnel_présent
je,je prends,je prendrai,je prenais,j'ai pris,,j'aurais pris,que je prenne,que j'aie pris,je prendrais
tu,tu prends,tu prendras,tu prenais,tu as pris,prends,tu aurais pris,que tu prennes,que tu aies pris,tu prendrais
il,il prend,il prendra,il prenait,il a pris,,il aurait pris,qu'il prenne,qu'il ait pris,il prendrait
elle,elle prend,elle prendra,elle prenait,elle a pris,,elle aurait pris,qu'elle prenne,qu'elle ait pris,elle prendrait
nous,nous prenons,nous prendrons,nous prenions,nous avons pris,prenons,nous aurions pris,que nous prenions,que nous ayons pris,nous prendrions
vous,vous prenez,vous prendrez,vous preniez,vous avez pris,prenez,vous auriez pris,que vous preniez,que vous ayez pris,vous prendriez
ils,ils prennent,ils prendront,ils prenaient,ils ont pris,,ils auraient pris,qu'ils prennent,qu'ils aient pris,ils prendraient
elles,elles prennent,elles prendront,elles prenaient,elles ont pris,,elles auraient pris,qu'elles prennent,qu'elles aient pris,elles prendraient
