,présent,futur simple,imparfait,passé composé,impératif,conditionnel_présent,conditionnel_passé,subjonctif_présent,subjonctif_passé
je,j'aime,j'aimerai,j'aimais,j'ai aimé,,j'aimerais,j'aurais aimé,que j'aime,que j'aie aimé
tu,tu aimes,tu aimeras,tu aimais,tu as aimé,aime,tu aimerais,tu aurais aimé,que tu aimes,que tu aies aimé
il,il aime,il aimera,il aimait,il a aimé,,il aimerait,il aurait aimé,qu'il aime,qu'il ait aimé
elle,elle aime,elle aimera,elle aimait,elle a aimé,,elle aimerait,elle aurait aimé,qu'elle aime,qu'elle ait aimé
nous,nous aimons,nous aimerons,nous aimions,nous avons aimé,aimons,nous aimerions,nous aurions aimé,que nous aimions,que nous ayons aimé
vous,vous aimez,vous aimerez,vous aimiez,vous avez aimé,aimez,vous aimeriez,vous auriez aimé,que vous aimiez,que vous ayez aimé
ils,ils aiment,ils aimeront,ils aimaient,ils ont aimé,,ils aimeraient,ils auraient aimé,qu'ils aiment,qu'ils aient aimé
elles,elles aiment,elles aimeront,elles aimaient,elles ont aimé,,elles aimeraient,elles auraient aimé,qu'elles aiment,qu'elles aient aimé
